"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.03690775314793e-38,2.36887181535708,0.483,0.114,1.05380699034233e-35,"14","RPN2"
1.26163585807839e-37,1.99492713178563,0.517,0.123,4.37787642753202e-35,"14","FTH1"
2.4927995744425e-37,2.25694386757871,0.467,0.105,8.65001452331548e-35,"14","CD63"
2.42086304324166e-36,2.40857943423152,0.425,0.093,8.40039476004855e-34,"14","ANXA5"
4.40338821621837e-35,1.47142742759903,0.942,0.532,1.52797571102778e-32,"14","FOSB"
4.81000244009871e-35,1.42104585459929,0.95,0.482,1.66907084671425e-32,"14","RGS1"
2.93846198459945e-30,2.39252249876062,0.592,0.224,1.01964630865601e-27,"14","S100A10"
8.58582621572406e-29,2.20359774241657,0.392,0.096,2.97928169685625e-26,"14","BCL2A1"
1.79004983028009e-27,1.71757835167045,0.483,0.136,6.21147291107191e-25,"14","CD37"
1.15657911205782e-26,1.21886336185785,0.875,0.39,4.01332951884063e-24,"14","CXCR4"
4.23461793454744e-26,2.1856329298557,0.333,0.076,1.46941242328796e-23,"14","LAP3"
3.27747402586373e-25,1.94883631440916,0.467,0.146,1.13728348697471e-22,"14","IL1B"
7.29180424280392e-25,1.73600883442407,0.592,0.229,2.53025607225296e-22,"14","NAMPT"
9.24501633999508e-24,2.46230571076157,0.275,0.059,3.20802066997829e-21,"14","PDIA6"
1.70565773230563e-22,1.92136068296188,0.383,0.107,5.91863233110053e-20,"14","GAPDH"
3.14378873914278e-18,1.67621682962486,0.367,0.112,1.09089469248255e-15,"14","IFNGR1"
2.04692935057931e-17,1.64008840682382,0.417,0.143,7.10284484651022e-15,"14","SELL"
9.08019628327621e-15,1.09512433582181,0.542,0.242,3.15082811029684e-12,"14","DUSP2"
1.38986784940631e-14,1.5431204073977,0.358,0.124,4.82284143743988e-12,"14","IFITM3"
3.62263410461835e-14,1.12589556058387,0.533,0.23,1.25705403430257e-11,"14","ITGB2"
5.75522921643594e-13,1.46282235399632,0.683,0.445,1.99706453810327e-10,"14","CXCL8"
4.2887411212029e-12,1.6686822589036,0.292,0.102,1.48819316905741e-09,"14","BAX"
6.41754003708928e-12,1.26978991980224,0.408,0.171,2.22688639286998e-09,"14","LAMP1"
8.3492065746461e-11,1.45329206272858,0.267,0.092,2.8971746814022e-08,"14","ADA"
1.70426114380739e-08,0.57131468876058,0.575,0.308,5.91378616901163e-06,"14","DUSP1"
1.40077349352254e-07,1.09454781011578,0.275,0.118,4.86068402252321e-05,"14","CXCL2"
0.000545310846692507,0.613871731936023,0.292,0.167,0.1892228638023,"14","CD48"
0.00134010946709306,0.30617975147464,0.258,0.144,0.465017985081291,"14","JUNB"
0,3.84996912951331,0.813,0.082,0,"2","IL7R"
0,3.50082120808499,0.842,0.112,0,"2","LEF1"
0,2.95112450304068,0.893,0.189,0,"2","PIK3IP1"
0,2.69015429166519,0.833,0.17,0,"2","CD52"
0,3.25095713033839,0.8,0.174,0,"2","TRBC2"
0,2.36868384880515,0.862,0.247,0,"2","IL23R"
0,1.80174213249635,0.913,0.315,0,"2","CXCR4"
0,3.31912796098351,0.67,0.087,0,"2","FYB"
0,1.97140100451054,0.943,0.365,0,"2","BTG1"
0,2.21191336447764,0.78,0.21,0,"2","CD69"
0,2.25996571820115,0.78,0.216,0,"2","PTPRC"
0,3.54831265341432,0.62,0.065,0,"2","TRAC"
0,2.30347798893933,0.941,0.416,0,"2","RGS1"
0,3.0838593140155,0.595,0.076,0,"2","CD3D"
0,3.46464970884533,0.537,0.06,0,"2","CD6"
0,3.24232148447849,0.526,0.062,0,"2","CD3E"
0,2.7555324678899,0.531,0.087,0,"2","SELL"
0,1.56810329735374,0.912,0.477,0,"2","FOSB"
0,2.42643214899648,0.535,0.113,0,"2","CD48"
0,2.7220583212118,0.507,0.094,0,"2","PASK"
0,2.25455229350484,0.496,0.095,0,"2","IL32"
0,3.58298947975369,0.44,0.042,0,"2","CD2"
0,3.91512636297573,0.417,0.032,0,"2","CD5"
0,3.39373368800157,0.427,0.045,0,"2","CCR7"
0,3.87346355359698,0.415,0.034,0,"2","BCL11B"
0,2.00063095762694,0.528,0.148,0,"2","ARL4C"
0,2.55497523749729,0.464,0.097,0,"2","JUNB"
0,1.76301776808606,0.499,0.136,0,"2","CD247"
0,2.43360304282016,0.454,0.092,0,"2","CD44"
0,2.36339446806791,0.459,0.101,0,"2","JUN"
0,4.0522785731923,0.36,0.026,0,"2","ICOS"
0,4.21338521269694,0.348,0.021,0,"2","TRAT1"
0,2.75689749450569,0.381,0.061,0,"2","FOXP1"
0,2.30518878212737,0.402,0.087,0,"2","CBLB"
0,1.93393425260054,0.406,0.098,0,"2","CD37"
0,1.92744535841908,0.412,0.11,0,"2","FYN"
0,2.88056838309345,0.349,0.054,0,"2","MYC"
0,2.33015896598698,0.397,0.112,0,"2","EGR1"
0,1.34918344124133,0.994,0.722,0,"2","HLA-A"
0,2.52464882872578,0.319,0.059,0,"2","ADA"
0,2.53985309317886,0.311,0.057,0,"2","TXK"
