TF,target,importance
RUNX3,APOBEC3G,5.681744432825726
FOXP1,SNCA,5.667397560846562
LEF1,IL7R,5.608575555761377
FOSB,ITGB2,5.60574340147912
FOSB,SELL,5.581826938791948
LEF1,STAT3,5.576646486117832
IRF4,CD24,5.55595041790853
TCF7,QPCT,5.551176384916657
RUNX3,FCER1G,5.549209371550591
FOSB,LAMP1,5.540969735265267
LEF1,CD28,5.5321178975238325
JUN,IL12RB2,5.494902545505008
PAX5,CD72,5.482126697665823
FOXP1,FOSB,5.469180434337421
PRDM1,S100A12,5.461367431352686
BCL11B,CD3D,5.452084684107391
MYC,MCM4,5.442613833352993
EGR1,IGHG1-secreted,5.4333750283630655
FOSB,GAPDH,5.4259366538276375
FOSB,LYN,5.410831017612816
FOXP1,RGS1,5.4054745123377925
FOSB,AQP9,5.403789888920939
STAT1,TMEM97,5.398458240658447
MYC,PTTG2,5.397104005406336
FOSB,TIAF1,5.388393845593567
LEF1,ARL4C,5.3850567484787515
BAX,BTG1,5.3816043985052575
POU2AF1,IL6,5.381378971183501
FOSB,IL6,5.347290537862518
PRDM1,CCR1,5.295258234431975
IKZF1,AURKB,5.2901298713731375
PRDM1,CXCL16,5.2704961748646095
JUN,STAT6,5.2678977719628675
FOSB,IFITM3,5.266644186261382
LEF1,CCND2,5.246590538327406
JUNB,EGR1,5.241951660171043
RUNX3,ATF6B,5.240152060215815
FOSB,CD48,5.224770682817919
STAT1,MCM2,5.2177845238022815
JUN,CD247,5.209148174842544
IRF8,VSIG4,5.2049439964807185
RUNX3,TIGIT,5.202343210699448
IRF8,THBD,5.184260022975883
MYC,CCR1,5.182060482688383
RUNX3,NCR3,5.178796261474526
FOSB,FYB,5.176243075663741
BAX,YBX3,5.174221234892477
FOXP1,CD52,5.167618342717009
BAX,ATF6B,5.135392822418459
JUN,TIAF1,5.13427026469697
RUNX3,CASP5,5.120109378800612
STAT5A,CD33,5.119952415647826
LEF1,BAX,5.114990288375621
STAT1,KIAA0101,5.104685997509026
JUN,CD69,5.097395061742794
MYC,AURKB,5.0633468390673935
RUNX3,LGALS3,5.0627778893310325
FOSB,VPS28,5.044861824039914
PRDM1,CLEC4E,5.041136899264285
FOSB,NCR3,5.039538143711405
LEF1,CD3D,5.035610387797483
LEF1,CBLB,5.029239777571313
FOXP1,BIRC3,5.023197567025954
RUNX3,RPN2,5.022489297659504
MYC,TYMS,5.019859988925316
RUNX3,CCR1,5.019515866516644
FOSB,LAT2,5.012636520097989
JUNB,IL7R,5.011776042096095
BCL11B,TRIB2,5.008539911507574
BAX,TSPAN32,4.984740743190655
EGR1,TNFRSF25,4.979854420825605
LEF1,IGBP1,4.979400082591569
BAX,CD8B,4.9786014460463806
PAX5,STAT6,4.971568452117236
LEF1,IL32,4.947259856420544
LEF1,ITGA4,4.939205905090533
RUNX3,CD27,4.9368574262835825
FOSB,IFNGR1,4.926099016613644
JUNB,CD52,4.919115308122193
MYC,SLC25A37,4.901836937714108
FOSB,JUN,4.887521420388917
LEF1,LGALS3,4.853519478422796
JUNB,TNFSF13,4.847228383040082
FOXP1,RORA,4.839214713949709
FOSB,VNN2,4.832508083502223
STAT6,CD72,4.826880365289359
FOSB,TNFSF13B,4.8251743144204156
PAX5,CD24,4.8230563144986105
IRF4,RNASE6,4.8227807605999535
FOXP1,IL23R,4.818135381958203
MYC,IL23R,4.811286908989878
FOSB,HLA-DPA1,4.801092844252061
FOSB,CXCL8,4.796728889972895
FOSB,LY86,4.792108761805266
TCF4,IRF8,4.783850457490299
FOSB,ITGAE,4.761780535075288
JUN,FOSL1,4.754190306098431
FOSB,CNOT2,4.75184479174877
BAX,CD8A,4.741055187287555
FOSB,CD8A,4.739445827436839
JUN,EGR1,4.716845546349888
LEF1,CCL3,4.711442675425454
FOSB,KCNE3,4.708393189098704
JUNB,CTSG,4.695741324557527
XBP1,CPA3,4.692133327829351
PRDM1,CXCL1,4.689014452597922
FOXP1,TRIB2,4.6820716433437175
PAX5,CXCR5,4.675434297923766
EGR1,SLC25A37,4.673481671927899
PRDM1,CSF2,4.673076437646099
IRF8,IL3RA,4.654703042691248
FOSB,C10orf54,4.652099539126178
IRF8,GZMB,4.643493485131802
ZBTB16,CD27,4.634936973623737
MYC,MCM2,4.633717932922991
STAT1,PDIA4,4.613933780177582
FOSB,IL7R,4.61151778634509
STAT1,UBE2C,4.595834031611277
RUNX3,CD300A,4.5776528772438265
BCL11B,TRBC2,4.576380188754554
JUNB,CSF3,4.5698192834634845
IRF8,CD72,4.563245396232631
LEF1,CHI3L2,4.553381167658017
FOXP1,PTPRC,4.551833289611654
PAX5,HLA-DQB1,4.5401943251978
TCF4,JCHAIN,4.537081601396149
RUNX3,LAP3,4.532596436083233
MYC,IL7R,4.523836972638709
JUN,STAT5A,4.500617518447674
